z    mass    j
7.662359   10000000.0   4.071e+01
7.662359   31622776.60168379   4.089e+01
7.662359   100000000.0   4.115e+01
7.662359   316227766.01683795   4.152e+01
7.662359   1000000000.0   4.202e+01
7.662359   3162277660.1683793   4.273e+01
7.796003   10000000000.0   4.554e+01
7.796003   31622776601.683792   4.820e+01
7.796003   100000000000.0   5.348e+01
7.796003   316227766016.83795   6.278e+01
7.796003   1000000000000.0   8.796e+01
7.796003   100000.0   4.103e+01
7.796003   316227.7660168379   4.110e+01
7.796003   1000000.0   4.119e+01
7.796003   3162277.6601683795   4.129e+01
7.796003   10000000.0   4.185e+01
7.796003   31622776.60168379   4.205e+01
7.796003   100000000.0   4.233e+01
7.796003   316227766.01683795   4.272e+01
7.796003   1000000000.0   4.327e+01
7.796003   3162277660.1683793   4.404e+01
7.931761   10000000000.0   4.694e+01
7.931761   31622776601.683792   4.975e+01
7.931761   100000000000.0   5.544e+01
7.931761   316227766016.83795   6.657e+01
7.931761   1000000000000.0   9.562e+01
7.931761   100000.0   4.213e+01
7.931761   316227.7660168379   4.220e+01
7.931761   1000000.0   4.229e+01
7.931761   3162277.6601683795   4.241e+01
7.931761   10000000.0   4.256e+01
7.931761   31622776.60168379   4.277e+01
7.931761   100000000.0   4.307e+01
7.931761   316227766.01683795   4.348e+01
7.931761   1000000000.0   4.451e+01
7.931761   3162277660.1683793   4.534e+01
8.069554   10000000000.0   4.833e+01
8.069554   31622776601.683792   5.182e+01
